,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Gross Domestic Product At Current Prices, By Industry (SSIC 2020), Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 
GDP At Current Market Prices,533351.9,476404.8,512219.9,508495.1,473915.7,440467,423444.1,398947.9,384870.3,368770.5,351367.9,326980.1,282394.5,273941.6,272697.6,236158.8,212723,194433,170117.9,165698.1,160885.6,165632.4,146252.5,143474.9,148664.4,135777.2,124463.3,112555.4,97923.1,84920.2,78542.8,70492.3,61308.5,53432.3,45549.5,40892.7,40862.8,41730.4,38058,33981.2,30352,25869.6,21141.2,18337.4,16353.2,15003.4,13728.7,12831.4,10395.6,8302.3,6929.9,5879.3,5081.3,4364.4,3789.9,3356.4,2983.6,2737.2,2809,2529.3,2340.7,2157.4
  Goods Producing Industries,132999.6,112820.7,123654.4,129248.4,111655.9,102634.5,102984.3,96557.6,90356.4,92397.2,88875.7,87212.2,76407.5,72476.1,77087.9,73075,66928.4,62104.9,51521.8,51062.7,49009,53914.4,45275.2,46197.9,46388.2,43048,39376.6,35429.5,31639.7,27585.9,25815.4,21980.9,19910.1,18166.5,15107.9,13840.4,13523.3,15118.2,13553,11784.3,10894.3,9413.9,7322.5,6064.9,5518,5104,4580.4,4264.2,3415.1,2750.5,2153,1734.2,1396.4,1174.6,985.4,856.1,752.5,672.9,618.8,535.8,476.9,432.8
    Manufacturing,112399.4,95066.5,99538.9,105443.1,88069.4,77118.1,76598.2,71809.7,67885,70497.2,68806.8,67926.3,57250.9,56392.7,64963.8,62766.3,57598.5,52729,42130.4,40989.8,37638.7,42835,33419.7,32550.8,32931.4,31455.8,29852.6,26590.9,23963.6,20677.8,19996.9,17203.1,15511.8,13934.3,10972.9,9247.4,8219.7,8931.3,8168.9,7575.4,7818.1,6862.2,5338.3,4279.2,3695.3,3313.1,2943,2822.7,2213.9,1674.5,1288.8,1026.2,821.9,659.3,547.8,473,403.9,350.7,328.5,271.4,241.1,228.2
    Construction,14570.1,11550.5,18070.4,17840.7,17944.1,19766.9,20430.8,19179.9,17119.7,16422.7,14837.1,14402.7,14989.9,11971.2,8095.8,6485.3,6010.7,5844.6,6025.6,6685.5,7784.6,8191.5,9044,10688.5,10546.3,9081,7328,6815.4,5853.2,5315.4,4258.8,3226.9,2962.7,2760.4,2837.6,3136.4,4042.8,4884.5,4155.3,3079.6,2097.7,1555.3,1187.3,1084.1,1162.4,1169.3,1052.3,916.9,717.1,682,499.2,388.7,285.4,247.4,203.1,176.7,176.6,150.5,127.6,104.4,93.6,67.7
    Utilities,5851,6045.7,5879.7,5811.4,5496.6,5610.3,5817.2,5430.2,5219.4,5354.6,5110.2,4765,4051.8,3998.7,3911.4,3708,3202.1,3423.1,3261.8,3269.7,3453.2,2735.3,2648.8,2798.8,2712.9,2307.5,2015.7,1828.3,1653.7,1425.1,1363.3,1322.9,1217.4,1249,1046.6,1163.4,884.4,855.9,780.3,672.8,534.4,605.9,469.4,396.2,334.6,315,289.2,266.6,246.4,210.3,185.9,168.5,146.2,134.8,119.1,96.6,80.4,80.5,71.4,69.2,60,57
    Other Goods Industries,179.1,158,165.4,153.2,145.8,139.2,138.1,137.8,132.3,122.7,121.6,118.2,114.9,113.5,116.9,115.4,117.1,108.2,104,117.7,132.5,152.6,162.7,159.8,197.6,203.7,180.3,194.9,169.2,167.6,196.4,228,218.2,222.8,250.8,293.2,376.4,446.5,448.5,456.5,444.1,390.5,327.5,305.4,325.7,306.6,295.9,258,237.7,183.7,179.1,150.8,142.9,133.1,115.4,109.8,91.6,91.2,91.3,90.8,82.2,79.9
  Services Producing Industries,351466.5,322627.6,344169,334917.7,315949.8,293660.7,278103,262844,255092.1,239471.7,228920.2,210487.7,181693.7,177067.3,172146.6,146200.2,129980.6,116870.3,103487.5,100299.7,96292.5,94722,86525.1,83774.6,87195.6,78902.4,71923.3,65417.7,57334.5,50137,46720.1,42822.6,35970.7,30951.5,26888.6,24188.3,24454.4,23896.1,22254.5,20406.7,17736.6,15014.7,12543.3,11161.5,9836.8,9001.2,8323.1,7774.9,6220.5,4909.7,4242.9,3666.4,3296.5,2865.7,2517.2,2220.5,1980.7,1848.9,1984.1,1792.1,1671.4,1538.7
    Wholesale & Retail Trade,97083.5,87169.6,89931.5,89284.7,82147.7,74171.9,65584.5,64724.5,68495.3,67637.8,68009.6,59177.5,50395.9,45086.1,49097.7,42056,34655.5,27692.7,22833.1,22246,20094.1,20732,18419.8,16206,17539.3,16968.1,15378.1,13706.8,12053.8,9886.2,9797.6,8655.2,6763.2,6178.2,5242.7,4661.5,4683.5,4987.7,4871.8,4681.1,4344.4,4234.4,3882.4,3520.7,3221.7,2931,2818.5,2879.7,2238.5,1662.5,1508.8,1350.6,1259.1,1066.2,941.2,795.5,665.6,634.9,795.6,685.4,652.9,601.5
      Wholesale Trade,90208.4,80967.7,82363.7,81328.4,74367,66518.6,58306.1,57829.3,61886.9,61105.9,61678.4,53525.7,44979.3,39740,43900.3,37208.8,30070.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
